,Missing
Session,0
Year,0
ISO-alpha3 Code,0
Words raw,0
Words,0
Climate mentions,0
Climate per 1000 words,0
Kyoto mentions,0
Paris mentions,0
Climate sentence share,0
Sentences,0
Country or Area,0
Region Name,0
Sub-region Name,0
Intermediate Region Name,6261
Least Developed Countries (LDC),0
Land Locked Developing Countries (LLDC),0
Small Island Developing States (SIDS),0
CO2 per capita (t),309
CO2 (Mt),309
Population,190
Fossil elec per capita (kWh),5718
Nuclear elec per capita (kWh),3775
Renewable elec per capita (kWh),4231
Low-carbon share of electricity (%),5792
Annex I,0
Country group,0
