Year,Country group,CO2 n,CO2 mean,CO2 median,CO2 std,Low-carbon share n,Low-carbon share mean,Low-carbon share median,Low-carbon share std
1997,Annex I (developed),41,9.209926829268293,8.321,4.147636877730763,36,40.57363706464299,40.31751069523928,29.045735084445194
1997,Non-Annex I (developing),151,3.379384105960265,1.132,7.793381924736677,18,23.165670997332292,15.453197597164756,24.004421522012056
2000,Annex I (developed),41,9.039146341463415,8.262,4.292357292682982,40,43.333969825290225,39.62762312529445,31.399000757006934
2000,Non-Annex I (developing),151,3.365417218543046,1.078,7.054989582187079,140,35.41501939793318,22.45366329253021,36.51680752885114
2007,Annex I (developed),41,9.490024390243903,8.615,4.376550448057265,40,41.456069930989614,37.003314213125165,30.869458394441022
2007,Non-Annex I (developing),151,3.5554834437086087,1.228,6.6442093583854955,142,33.60913129619017,17.80394379457907,35.434881944290915
2012,Annex I (developed),41,8.366707317073171,7.622,3.876434374808262,40,45.31640480558871,44.7189254449738,29.399541159639977
2012,Non-Annex I (developing),151,3.7921059602649003,1.547,6.802845244113984,143,33.28835811912773,18.421070358928482,35.21413549469297
2015,Annex I (developed),41,7.7272439024390245,6.631,3.5931002545189843,40,50.334539834374674,48.58601490755364,28.176829847977267
2015,Non-Annex I (developing),151,3.576933774834437,1.615,5.935845798388942,144,32.71597533309767,18.411284643896366,34.597243742865814
2019,Annex I (developed),41,7.3219512195121945,6.211,3.4031298899044358,40,55.73499373124239,56.955260417959565,26.75265650624878
2019,Non-Annex I (developing),151,3.7018476821192055,1.808,5.809499207043976,144,34.34815447800135,22.24988658232792,33.2308813180062
2024,Annex I (developed),41,6.2538780487804875,5.374,2.938381282229401,39,66.49376606992637,73.44669526482869,23.745620100081833
2024,Non-Annex I (developing),151,3.7268278145695364,1.755,5.906978267283073,138,37.95933100181942,25.922811119903365,32.93513814577283
