Year,Speeches
1946,37
1947,37
1948,37
1949,33
1950,42
1951,49
1952,41
1953,42
1954,40
1955,43
1956,64
1957,69
1958,70
1959,77
1960,77
1961,79
1962,90
1963,95
1964,93
1965,99
1966,106
1967,108
1968,109
1969,113
1970,69
1971,113
1972,122
1973,116
1974,125
1975,122
1976,130
1977,136
1978,137
1979,140
1980,145
1981,141
1982,143
1983,145
1984,145
1985,133
1986,145
1987,148
1988,150
1989,149
1990,153
1991,160
1992,166
1993,175
1994,178
1995,172
1996,181
1997,176
1998,181
1999,181
2000,178
2001,188
2002,187
2003,188
2004,191
2005,184
2006,193
2007,191
2008,192
2009,193
2010,189
2011,193
2012,194
2013,192
2014,193
2015,192
2016,193
2017,195
2018,195
2019,194
2020,192
2021,193
2022,192
2023,191
2024,191
2025,190
