ISO-alpha3 Code,Climate mentions,Climate per 1000 words,Country or Area,Country group,Talk group,CO2 start,CO2 end,CO2 change (%),CO2 change check (%),Low-carbon share start,Low-carbon share end,Low-carbon share change (pp),Low-carbon share change check (pp)
AFG,0,0.0,Afghanistan,Non-Annex I (developing),Did not mention,0.071,0.108,52.112676056338046,347.887323943662,64.58377018242818,74.25734954594428,9.673579363516097,19.50777030930678
AGO,2,0.5241090146750524,Angola,Non-Annex I (developing),Mentioned climate,1.083,0.846,-21.883656509695292,-4.8938134810710965,63.194889616158896,76.85179247098057,13.656902854821674,7.789537615801969
ALB,0,0.0,Albania,Non-Annex I (developing),Did not mention,0.478,1.324,176.9874476987448,254.39330543933053,96.19453133314902,97.5264662873281,1.33193495417909,3.8054686668509845
AND,0,0.0,Andorra,Non-Annex I (developing),Did not mention,7.19,6.576,-8.539638386648129,-11.821974965229487,,,,
ARE,0,0.0,United Arab Emirates,Non-Annex I (developing),Did not mention,26.016,23.842,-8.356396063960636,6.807349323493228,0.0,0.0,0.0,0.018832802478419397
ARG,7,1.7287314332223553,Argentina,Non-Annex I (developing),Mentioned climate,3.8,4.342,14.263157894736844,19.657894736842096,39.53698750793066,34.88371273236038,-4.6532747755702815,-12.048393521726055
ARM,0,0.0,Armenia,Non-Annex I (developing),Did not mention,1.002,1.714,71.05788423153692,96.30738522954093,53.46017552198838,73.7213233619833,20.261147839994912,3.061566858228119
ATG,3,0.5383816671769153,Antigua and Barbuda,Non-Annex I (developing),Mentioned climate,4.331,6.546,51.142923112445146,47.3331794042946,0.0,0.0,0.0,0.0
AUS,6,0.7731958762886598,Australia,Annex I (developed),Mentioned climate,17.306,19.036,9.996532994337226,2.4037905928579795,8.089286873974682,8.343267476890675,0.253980602915993,3.986832336873224
AUT,4,0.2981514609421586,Austria,Annex I (developed),Mentioned climate,8.445,8.93,5.743043220840738,-5.541740674955598,72.83701629362791,68.70921514542306,-4.127801148204853,1.93356190654184
AZE,1,0.16534391534391535,Azerbaijan,Non-Annex I (developing),Mentioned climate,3.76,3.402,-9.521276595744677,-7.047872340425521,8.137059773941873,10.72409575524773,2.5870359813058563,-0.30074493512685674
BDI,2,0.28826751225136926,Burundi,Non-Annex I (developing),Mentioned climate,0.041,0.023,-43.90243902439025,-4.878048780487809,100.0,100.0,0.0,0.0
BEL,0,0.0,Belgium,Annex I (developed),Did not mention,12.181,11.34,-6.904195057877017,-24.250882521960428,59.43954959304552,59.57838564559171,0.13883605254618914,2.8840958542267288
BEN,0,0.0,Benin,Non-Annex I (developing),Did not mention,0.186,0.439,136.0215053763441,127.41935483870965,0.0,0.0,0.0,0.0
BFA,1,0.23148148148148148,Burkina Faso,Non-Annex I (developing),Mentioned climate,0.07,0.109,55.714285714285694,117.14285714285712,25.639849555086688,18.03210998032596,-7.607739574760728,-8.451762621896457
BGD,3,0.5705591479650057,Bangladesh,Non-Annex I (developing),Mentioned climate,0.182,0.288,58.241758241758234,111.53846153846155,5.8974964971217325,2.4526283618581908,-3.4448681352635417,-4.025935108441042
BGR,1,0.15878056525881232,Bulgaria,Annex I (developed),Mentioned climate,6.791,7.338,8.05477838315416,-2.8419967604182084,51.26878860067228,40.91546298668555,-10.353325613986733,-6.0040466807342625
BHR,3,0.4508532702770581,Bahrain,Non-Annex I (developing),Mentioned climate,27.597,25.18,-8.758198354893654,-18.958582454614636,0.0,0.0,0.0,0.0
BHS,3,0.7156488549618321,Bahamas,Non-Annex I (developing),Mentioned climate,5.173,5.299,2.435723951285529,5.451382176686637,0.0,0.0,0.0,0.0
BIH,0,0.0,Bosnia and Herzegovina,Non-Annex I (developing),Did not mention,2.082,4.354,109.12584053794431,189.72142170989437,,,,
BLR,0,0.0,Belarus,Annex I (developed),Did not mention,6.095,6.303,3.4126333059885106,8.515176374077104,0.11495748908037837,0.15707218410254037,0.042114695022162,0.566654139105884
BLZ,4,0.8450931207454638,Belize,Non-Annex I (developing),Mentioned climate,1.786,1.596,-10.638297872340418,-20.884658454647255,69.2307264836148,81.8181573457164,12.587430862101598,22.87455983363465
BOL,0,0.0,Bolivia (Plurinational State of),Non-Annex I (developing),Did not mention,1.436,1.315,-8.426183844011137,16.364902506963787,51.546366598570195,43.198542831045685,-8.34782376752451,-19.02269892100407
BRA,1,0.17001020061203673,Brazil,Non-Annex I (developing),Mentioned climate,1.842,2.071,12.432138979370254,37.18783930510314,91.22457651209346,91.00078233440622,-0.22379417768723897,-5.7585200840275235
BRB,1,0.18409425625920472,Barbados,Non-Annex I (developing),Mentioned climate,4.404,5.415,22.956403269754766,27.429609445958224,0.0,0.0,0.0,0.0
BRN,0,0.0,Brunei Darussalam,Non-Annex I (developing),Did not mention,20.235,21.777,7.6204595997035,15.759822090437359,0.0,0.0,0.0,0.0
BTN,0,0.0,Bhutan,Non-Annex I (developing),Did not mention,0.698,0.585,-16.189111747851005,129.65616045845275,100.0,100.0,0.0,0.0
BWA,0,0.0,Botswana,Non-Annex I (developing),Did not mention,1.781,2.212,24.19988770353736,35.2049410443571,0.0,0.0,0.0,0.0
CAF,1,0.2515090543259557,Central African Republic,Non-Annex I (developing),Mentioned climate,0.061,0.034,-44.26229508196721,-34.42622950819671,80.00076669477882,87.49895406242155,7.498187367642728,3.333420507434411
CAN,2,0.37453183520599254,Canada,Annex I (developed),Mentioned climate,17.366,17.828,2.6603708395715797,-7.3707244040078335,72.57957483178264,74.50133323064266,1.921758398860021,5.588330285462121
CHL,1,0.1841620626151013,Chile,Non-Annex I (developing),Mentioned climate,3.746,4.227,12.840363053924197,21.329418045915638,49.8297691043178,43.94303860292908,-5.886730501388719,-13.549764440612023
CHN,1,0.14492753623188406,China,Non-Annex I (developing),Mentioned climate,2.83,5.261,85.90106007067138,152.01413427561837,17.8739839644562,17.151694831025964,-0.7222891334302375,4.1384801537003
CIV,0,0.0,Côte d’Ivoire,Non-Annex I (developing),Did not mention,0.449,0.316,-29.621380846325163,-18.930957683741656,36.4584331973953,33.80795569359727,-2.6504775037980295,-10.172603970803731
CMR,0,0.0,Cameroon,Non-Annex I (developing),Did not mention,0.39,0.41,5.12820512820511,-6.153846153846154,98.84070249452122,74.66403367458298,-24.176668819938243,-20.203631619447464
COD,0,0.0,Democratic Republic of the Congo,Non-Annex I (developing),Did not mention,0.067,0.042,-37.31343283582089,-43.28358208955224,99.99999999999999,98.85018950728106,-1.1498104927189274,-0.13345542394012
COG,0,0.0,Congo,Non-Annex I (developing),Did not mention,1.673,1.07,-36.0430364614465,-36.700537955768084,100.0,82.50009951040879,-17.499900489591212,-41.2790938029683
COL,1,0.1890359168241966,Colombia,Non-Annex I (developing),Mentioned climate,1.754,1.403,-20.01140250855188,-1.8814139110604255,75.3562473634134,81.38345344916429,6.0272060857508905,2.537837779957826
COM,0,0.0,Comoros,Non-Annex I (developing),Did not mention,0.159,0.172,8.176100628930815,42.13836477987422,0.0,0.0,0.0,0.0
CPV,2,0.4144776468153658,Cabo Verde,Non-Annex I (developing),Mentioned climate,0.525,1.019,94.09523809523807,86.66666666666664,6.666747259588795,3.7036492513861345,-2.9630980082026603,11.754323099339686
