ISO-alpha3 Code,Climate mentions,Climate per 1000 words,Country or Area,Country group,Talk group,Mentioned climate,CO2 start,CO2 end,CO2 change (%),CO2 change check (%),Low-carbon share start,Low-carbon share end,Low-carbon share change (pp),Low-carbon share change check (pp)
AFG,1,0.1721763085399449,Afghanistan,Non-Annex I (developing),Low third,True,0.277,0.254,-8.303249097472932,-0.7220216606498187,87.28747957223545,86.8694266143971,-0.4180529578383556,0.38332707593525583
AGO,13,4.286996857698639,Angola,Non-Annex I (developing),High third,True,0.977,0.589,-39.71340839303992,-29.78505629477993,54.60112631288005,73.70102965013281,19.099903337252762,18.597288058465658
ALB,6,1.71206992116462,Albania,Non-Annex I (developing),Middle third,True,1.626,1.592,-2.091020910209096,5.2890528905289,100.0,100.0,0.0,1.4210854715202004e-14
AND,18,3.360611906704547,Andorra,Non-Annex I (developing),High third,True,6.445,5.182,-19.596586501163692,-0.4034134988363136,,,,
ARE,1,0.2405002405002405,United Arab Emirates,Non-Annex I (developing),Low third,True,25.943,20.131,-22.402960336121502,-16.123809890914696,0.23551852859486,31.733046791231942,31.497528262637083,2.4080342921686126
ARG,3,0.8971291866028708,Argentina,Non-Annex I (developing),Low third,True,4.412,3.743,-15.163191296464184,-9.066183136899376,28.517407991073792,41.23663399829632,12.719226007222527,2.458006642820976
ARM,1,0.32679738562091504,Armenia,Non-Annex I (developing),Low third,True,1.872,2.499,33.49358974358974,15.59829059829061,62.91391266565116,61.01882577039964,-1.8950868952515236,-3.63488145316245
ATG,18,3.9279167960896624,Antigua and Barbuda,Non-Annex I (developing),High third,True,6.474,7.092,9.545875810936044,7.769539697250538,2.8571538066513886,8.108112903389332,5.250959096737943,-0.0793689781787199
AUS,16,3.600576248860133,Australia,Annex I (developed),High third,True,16.727,14.477,-13.451306271297902,-2.65439110420278,14.095044097161786,35.07669471028445,20.981650613122664,6.687207206299682
AUT,2,0.8097165991902834,Austria,Annex I (developed),Low third,True,7.677,6.18,-19.49980461117624,-0.33867396118275606,77.03140130651173,86.22403613084037,9.19263482432865,0.26383224206989553
AZE,0,0.0,Azerbaijan,Non-Annex I (developing),Low third,False,3.556,3.853,8.352080989876276,5.005624296962874,6.959699689710593,11.745678612641218,4.785978922930624,-0.061817904047374306
BDI,6,1.1799906993063465,Burundi,Non-Annex I (developing),Low third,True,0.032,0.065,103.125,75.0,83.33128759052411,75.51102319314239,-7.82026439738172,-14.101485246307675
BEL,8,2.2084353990674814,Belgium,Annex I (developed),Middle third,True,8.987,7.28,-18.994102592633798,-3.3604094803605156,59.24302863024738,76.34521623504084,17.102187604793457,8.693102403259019
